Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Willis R G D,England,0.49%,3,1,0,0,0,0,2,2,25.00,2.00,2,0,0215,Away,04
Dymock G,Australia,0.23%,4,1,0,0,0,0,1,1,7.14,1.00,0,0,0215,Home,04
Lever J K,England,0.25%,4,1,0,0,0,0,1,1,7.14,1.00,0,0,0215,Away,04
Hurst A G,Australia,,4,1,1,0,0,0,0*,0,0.00,-,1,0,0215,Home,04
Hendrick M,England,,4,1,1,0,0,0,0*,0,-,-,0,0,0215,Away,04
Wright K J,Australia,,2,0,0,0,0,0,-,0,-,-,3,0,0215,Home,04
Tolchard R W,England,,1,0,0,0,0,0,-,0,-,-,1,0,0215,Away,04
Toohey P M,Australia,16.36%,3,2,2,1,0,0,54*,70,84.34,-,0,0,0215,Home,04
Old C M,England,3.92%,2,1,1,0,0,0,16*,16,66.67,-,1,0,0215,Away,04
Hughes K J,Australia,34.34%,2,2,1,2,0,0,98,171,91.94,171.00,1,0,0220,Away,02
Boycott G,England,31.16%,2,2,0,2,0,0,99,177,68.87,88.50,0,0,0220,Home,02
Gooch G A,England,28.52%,2,2,0,1,1,0,108,162,82.65,81.00,1,0,0220,Home,02
Butcher R O,England,9.15%,1,1,0,1,0,0,52,52,136.84,52.00,0,0,0220,Home,02
Yallop G N,Australia,10.44%,2,2,1,1,0,1,52*,52,69.33,52.00,2,0,0220,Away,02
Athey C W J,England,14.61%,2,2,0,1,0,0,51,83,77.57,41.50,1,0,0220,Home,02
Marsh R W,Australia,8.23%,2,1,0,0,0,0,41,41,85.42,41.00,2,0,0220,Away,02
Chappell G S,Australia,7.23%,2,1,0,0,0,0,36,36,67.92,36.00,1,0,0220,Away,02
Laird B M,Australia,10.24%,2,2,0,0,0,0,36,51,49.04,25.50,0,0,0220,Away,02
Dyson J,Australia,4.82%,1,1,0,0,0,0,24,24,43.64,24.00,1,0,0220,Away,02
Border A R,Australia,7.83%,2,2,0,0,0,0,26,39,70.91,19.50,0,0,0220,Away,02
Gatting M W,England,3.35%,2,2,1,0,0,0,17*,19,82.61,19.00,0,0,0220,Home,02
Bairstow D L,England,2.64%,2,2,1,0,0,0,9*,15,125.00,15.00,2,0,0220,Home,02
Thomson J R,Australia,3.01%,2,1,0,0,0,0,15,15,75.00,15.00,0,0,0220,Away,02
Butcher A R,England,2.46%,1,1,0,0,0,0,14,14,53.85,14.00,0,0,0220,Home,02
Lillee D K,Australia,4.22%,2,2,0,0,0,1,21,21,80.77,10.50,0,0,0220,Away,02
Jackman R D,England,1.06%,2,1,0,0,0,0,6,6,150.00,6.00,0,0,0220,Home,02
Wood G M,Australia,0.80%,1,1,0,0,0,0,4,4,40.00,4.00,0,0,0220,Away,02
Botham I T,England,1.06%,2,2,0,0,0,0,4,6,150.00,3.00,0,0,0220,Home,02
Willey P,England,0.35%,1,1,0,0,0,0,2,2,66.67,2.00,1,0,0220,Home,02
Old C M,England,0.35%,2,1,1,0,0,0,2*,2,-,-,0,0,0220,Home,02
Pascoe L S,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0220,Away,02
Dymock G,Australia,2.81%,1,1,1,0,0,0,14*,14,87.50,-,0,0,0220,Away,02
Bright R J,Australia,1.00%,1,1,1,0,0,0,5*,5,100.00,-,0,0,0220,Away,02
Hendrick M,England,,2,0,0,0,0,0,-,0,-,-,0,0,0220,Home,02
